area_type,dun,max_elevation,watercover,state,parlimen,population_total,sex_male,sex_female,housing_total,household_total
sla,N.33 Merbau Pulas,600.0,0.0694257413891133,Kedah,P.017 Padang Serai,102931,52113,50818,28057,23413
sla,N.34 Lunas,98.0,0.0078172980750671,Kedah,P.017 Padang Serai,159006,82292,76714,44462,38914
sla,N.35 Kulim,1874.0,0.0043678953310025,Kedah,P.018 Kulim-Bandar Baharu,75798,38672,37126,20888,18476
sla,N.36 Bandar Baharu,484.0,0.0226741812573709,Kedah,P.018 Kulim-Bandar Baharu,44412,22740,21672,12664,11112
sla,N.01 Pengkalan Kubor,24.0,0.5126040302797719,Kelantan,P.019 Tumpat,42442,21462,20980,8922,7546
sla,N.02 Kelaboran,24.0,0.3986010194122112,Kelantan,P.019 Tumpat,42590,21071,21519,11014,8562
sla,N.03 Pasir Pekan,28.0,1.0117486338797814,Kelantan,P.019 Tumpat,49683,24242,25441,11423,9694
sla,N.04 Wakaf Bharu,29.0,0.1311981234211476,Kelantan,P.019 Tumpat,45229,22418,22811,10754,9016
sla,N.05 Kijang,20.0,1.6842038459097544,Kelantan,P.020 Pengkalan Chepa,34503,17279,17224,7495,7219
sla,N.06 Chempaka,19.0,1.1059074659877066,Kelantan,P.020 Pengkalan Chepa,49231,23772,25459,10116,9398
sla,N.07 Panchor,28.0,0.1811923172861062,Kelantan,P.020 Pengkalan Chepa,75940,39054,36886,16121,15570
sla,N.08 Tanjong Mas,33.0,0.0111008798854102,Kelantan,P.021 Kota Bharu,66760,33271,33489,17447,15344
sla,N.09 Kota Lama,27.0,1.0294922468835512,Kelantan,P.021 Kota Bharu,20376,9685,10691,7050,4469
sla,N.10 Bunut Payong,32.0,0.5030850091407678,Kelantan,P.021 Kota Bharu,43665,20014,23651,10179,9010
sla,N.11 Tendong,34.0,0.2224146398201039,Kelantan,P.022 Pasir Mas,41869,21046,20823,9309,8502
sla,N.12 Pengkalan Pasir,35.0,0.5276284044996076,Kelantan,P.022 Pasir Mas,37373,18822,18551,8414,7263
